,Smiles_template,Smarts_template,edit_site,change_H
0,N>>O=C(-[N;+0:1])-O-C-c1:c:c:c:c:c:1,[N;+0:1]>>O=C(-[N;+0:1])-O-C-c1:c:c:c:c:c:1,[1],{1: -1}
1,CN>>O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>O-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
2,CN>>O=[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>O=[C;+0:1].[N;+0:2],"[(1, 2)]","{1: -1, 2: 1}"
3,CN>>Cl-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>Cl-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
4,CC>>Br-[c;+0:1].O-B(-O)-[c;+0:2],[c;+0:2]-[c;+0:1]>>Br-[c;+0:1].O-B(-O)-[c;+0:2],"[(1, 2)]","{1: 0, 2: 0}"
5,CC>>Br-[c;+0:1].C-C1(-C)-O-B(-[c;+0:2])-O-C-1(-C)-C,[c;+0:2]-[c;+0:1]>>Br-[c;+0:1].C-C1(-C)-O-B(-[c;+0:2])-O-C-1(-C)-C,"[(1, 2)]","{1: 0, 2: 0}"
6,CO>>[C;+0:1]=[O;+0:2],[C;+0:1]-[O;+0:2]>>[C;+0:1]=[O;+0:2],"[(1, 2)]","{1: -1, 2: -1}"
7,CO>>Br-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>Br-[C;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
8,O>>C-C(-C)(-C)-[O;+0:1],[O;+0:1]>>C-C(-C)(-C)-[O;+0:1],[1],{1: -1}
9,N>>C-O-c1:c:c:c(-C-[n;+0:1]):c:c:1,[n;+0:1]>>C-O-c1:c:c:c(-C-[n;+0:1]):c:c:1,[1],{1: -1}
10,O>>C-[O;+0:1],[O;+0:1]>>C-[O;+0:1],[1],{1: -1}
11,CN>>F-[c;+0:1].[N;+0:2],[c;+0:1]-[N;+0:2]>>F-[c;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
12,CS>>F-[c;+0:1].[S;+0:2],[c;+0:1]-[S;+0:2]>>F-[c;+0:1].[S;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
13,N>>[N;+0:1]-C-c1:c:c:c:c:c:1,[N;+0:1]>>[N;+0:1]-C-c1:c:c:c:c:c:1,[1],{1: -1}
14,C=C>>O=[C;+0:1].[C;+0:2],[C;+0:1]=[C;+0:2]>>O=[C;+0:1].[C;+0:2],"[(1, 2)]","{1: 0, 2: 2}"
15,CO>>Br-[C;+0:1].[O;-1:2],[C;+0:1]-[O;+0:2]>>Br-[C;+0:1].[O;-1:2],"[(1, 2)]","{1: 0, 2: 0}"
16,CN>>Br-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>Br-[C;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
17,C>>C-[Si](-C)(-C)-[C;+0:1],[C;+0:1]>>C-[Si](-C)(-C)-[C;+0:1],[1],{1: -1}
18,OS>>Cl-[S;+0:1].[O;+0:2],[S;+0:1]-[O;+0:2]>>Cl-[S;+0:1].[O;+0:2],"[(2, 1)]","{1: 0, 2: 1}"
19,NCN>>[C;+0:1]=[N;+0:2].[N;+0:3],[N;+0:2]-[C;+0:1]-[N;+0:3]>>[C;+0:1]=[N;+0:2].[N;+0:3],"[(1, 3)]","{3: 1, 1: 0, 2: -1}"
20,CN>>Br-[c;+0:1].[N;+0:2],[c;+0:1]-[N;+0:2]>>Br-[c;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
