,Template,Frequency,Class
0,[N:1]>>C-N-C-C(=O)-[N:1]_-1_0_0,1,1
1,[C:1]#[N:2]>>O=[C:1]-[N:2](-C-c1:c:c:c:c:c:1)-C-c1:c:c:c2:c(:c:1)-O-C-O-2_00_00_00,1,2
2,[Br:1]>>O=C1-C-C-C(=O)-N-1-[Br:1]_0_1_0,1,3
3,[O:1]=[C:2]>>C-[Si](-C)(-C)-[O:1]-[C:2]_01_00_00,1,4
4,[Cl:1]>>C-N1-C-C-C(-[Cl:1])-C-1_-1_0_0,1,5
5,[O:2].[C:1]>>C-[C:1]-[O:2]_-2-1_00_00,1,6
6,[n:1].[c:2]-[c:3]>>[n:1].Br-[c:2].O-B(-O)-[c:3]_100_100_000,1,7
7,[C:3]-[O:4]-[C:2]=[O:1]>>[O:1].[C:2].O-[C:3]=[O:4]_13-20_-1000_0000,1,8
8,[Cl:1]>>C-O-C-N(-c1:o:n:c(-C):c:1-[Cl:1])-S(=O)(=O)-c1:c:c:s:c:1-C(-Cl)=O_0_1_0,1,9
9,[O:1].[O:2]=[N:3]-[O:4]>>[O:1].[O:2]-[N:3]=[O:4]_1000_1-101_0000,1,10
10,[n:1]>>C-C(-C)(-C)-O-C(=O)-C-[n:1]_-1_0_0,1,11
11,[n:1].[n:3]:[c:2]-[I:4]>>[n:1].[c:2]:[n:3].O=C1-C-C-C(=O)-N-1-[I:4]_11-10_0000_0000,1,12
12,[n:1].[n:2].[C:3]-[O:6]-[C:5]=[O:4]>>[n:1].[n:2].Cl-C(=O)-O-[C:3].[O:4]-[C:5]=[O:6]_-110100_000000_000000,1,13
13,[c:1]-[O:4].[C:2]=[C:3]>>Cl-[c:1].[C:2]-[C:3]-C-[O:4]_0100_0000_0000,1,14
14,[N:1]>>C-C(-C)-C-[N:1]-C(=O)-[O-]_-2_0_0,1,15
15,[C:1]1-[C:2]-[C:3]-[C:4]-1>>[C:1].[C:2]=[C:3]1-C-C-[C:4]-1_20-20_0000_0000,1,16
16,[O:1]-[C:3]=[O:2]>>[O:1].C-C(-C)-[O:2]-[C:3]=O_100_000_000,1,17
17,[N:1]>>C-N1-C(=O)-N-C(=O)-C-12-C-c1:c:c:c(-N-C(=O)-C-[N:1]):c:c:1-C-2_-1_0_0,1,18
18,[O:2].[N:1]=[C:3]-[N:4]>>[N:1].[O:2]-[C:3]=[N:4]_2-10-1_0000_0000,1,19
19,[n:1].[c:2]=[O:3]>>[n:1].[c:2].C-C(-C)-O-B(-O-C(-C)-C)-[O:3]-C(-C)-C_-110_000_000,1,20
20,[Cl:1]>>C-C-O-C(=O)-[Cl:1]_-1_0_0,1,21
21,[c:4].[c:1]-[C:2]=[C:3]>>[c:1].[C:2].N#C-C(=[C:3])-[c:4]_130-1_0000_0000,1,22
22,[n:1].[c:2]-[O:3]-[c:4]>>[n:1].Br-[c:2].[O:3]=[c:4]_1000_0000_0000,1,23
23,[C:1]-[C:3]#[C:2]>>[C:1].C#[C:2]-[C:3]-O_1-12_000_000,1,24
24,[N:1]-[C:3]=[O:2]>>C-[N:1].C-[O:2]-[C:3]=O_000_000_000,1,25
25,[C:1]-[C:3]#[C:2]>>[C:1].Br-N1-C(=O)-C-[C:2]-[C:3]-1=O_110_000_000,1,26
26,[N:1]#[C:2]>>[N:1]-[C:2]-C-c1:c:c:c:c:c:1_21_00_00,1,27
27,[O:1].[N:2]-[C:3]>>[O:1].[N:2].O=[C:3]_-12-1_-110_000,1,28
28,[n:1]>>O=[N+](-[O-])-c1:c:c:c(-C-C-[n:1]):c:c:1_-1_0_0,1,29
29,[Cl:1]>>C-O-C(=O)-C1=C(-C)-N-C(-C)=C(-C(=O)-O-C-C-[Cl:1])-C-1-c1:c:c:c:c(-[N+](=O)-[O-]):c:1_-1_0_0,1,30
30,[c:3].[C:1]#[C:2]>>[C:1]=[C:2](-[c:3])-c1:c:c:c:c:[n+]:1-[O-]_1-1-1_000_000,1,31
31,[O:2].[N:1]-[c:3]>>[N:1].O=C(-[O:2])-[c:3]_1-10_000_000,1,32
32,[C:3]-[C:2]-[N:1]-[C:4]>>[N:1].O-[C:2]-[C:3]-[C:4]_20-10_0000_0000,1,33
33,[C:4]-[S:3]-[c:2]:[s:1]>>[s:1]:[c:2]=[S:3].C-O-S(=O)(=O)-O-[C:4]_0000_-1000_0000,1,34
34,[C:1]-[C:3]=[O:2]>>C-C-O-C(=O)-[C:1].C-C(-C)(-C)-[O:2]-[C:3]=O_000_000_000,1,35
35,[O:2].[C:1]-[O:3]>>[C:1]-[O:2].O=C1-O-C(=[O:3])-c2:c:c:c3:c:c:c:c:c:3:c:2-1_0-1-1_000_000,1,36
36,[O:1]=[C:2]-[O:3]>>C-C(-C)(-C)-C-[O:1]-[C:2]=[O:3]_00-1_000_000,1,37
37,[O:1].[O:2].[O:3]-[C:4]>>[O:1].[O:2].[O:3].Br-[C:4]_-1-110_-1-100_0000,1,38
38,[C:1]#[N:2]>>O=[C:1]-[N:2]-c1:c:c:c(-C(=O)-c2:c:c:c:c:c:2):c:c:1_01_00_00,1,39
39,[C:1]-[C:2]>>C-[Si](-C)(-C)-[C:1]#[C:2]_-3-2_00_00,1,40
40,[O:1]>>O=C1-N-C(=O)-C(=C-c2:c:c:c(-[O:1]):c(-[N+](=O)-[O-]):c:2)-S-1_-1_0_0,1,41
41,[C:1]-[C:3]=[C:2]>>[C:1].C-C(-C)(-C)-O-C(=O)-n1:c(-C-N(-C-[C:2](=C)-[C:3])-C2-C-C-C-c3:c:c:c:n:c:3-2):n:c2:c:c:c:c:c:2:1_1-22_000_000,1,42
42,[c:1]-[C:3]=[O:2]>>I-[c:1].C-C-C-C-[Sn](-C-C-C-C)(-C-C-C-C)-C(=C)-[O:2]-[C:3]_002_000_000,1,43
43,[N:1].[C:2]-[N:3]>>Br-C-C-C-[N:1]-[C:2].C-C-C-C-C-C-C-C-C=C-C-C-C-C-C-C-C-C-N-C-C-C-N1-C-C-N(-C-C-C-[N:3]-C-C-C-C-C-C-C-C-C=C-C-C-C-C-C-C-C-C)-C-C-1_-20-1_000_000,1,44
44,[N:1]>>O=C(-[N:1])-C-C1-C-C-C-C-1_-1_0_0,1,45
45,[C:3]-[C:1]-[C:2]=[C:4]>>O-[C:1]-[C:2](-[C:3])-[C:4]_0001_0000_0000,1,46
46,[C:1]>>C-C=C-C-[C:1]_-1_0_0,1,47
47,[Cl:1]>>N-c1:c:c(-[N+](=O)-[O-]):c:c:c:1-[Cl:1]_-1_0_0,1,48
48,[O:1]-[C:3]=[C:2]>>[O:1].C-C(-C)(-O)-c1:c:c:c:c(-[C:2](-C)(-O)-[C:3]):c:1_1-22_000_000,1,49
49,[C:1]-[C:3]=[O:2]>>C-C-[Al](-[C:1])-C-C.C-[O:2]-[C:3]=O_000_000_000,1,50
50,[O:2].[N:1]-[C:3]>>[N:1].[O:2].Cl-[C:3]_110_010_000,1,51
51,[C:1]>>F-C(-F)(-F)-C(=O)-N-C-C-C-[C:1]_-1_0_0,1,52
52,[Cl:2].[Cl:1]>>[Cl:1].Cl-S(=O)-[Cl:2]_10_11_00,1,53
53,[Au:1]>>Cl-[Au:1](-Cl)(-Cl)-Cl_0_-1_0,1,54
54,[C:2]=[C:1]-[C:3]>>[C:1]-[C:2]-[O-].C-C-O-[C:3]=O_20-2_000_000,1,55
55,[c:1]-[C:3]=[C:2]>>Br-[c:1].C-O-C-C-O-[C:2]-[C:3]-O-C_001_000_000,1,56
56,[N:3].[C:1]-[C:2]>>[C:1]-[Li].[C:2]-[N:3]_00-1_000_000,1,57
57,[O:2].[O:1]-[C:4]-[C:3]-[O:5]>>[O:1].[O:2]-C-[C:3]-[C:4]-[O:5]_1-1000_00000_00000,1,58
58,[C:3]-[C:4]-[C:1]-[c:2]>>[C:1].[c:2]-[C:3]=[C:4]_20-20_0000_0000,1,59
59,[O:2].[O:1]=[C:3]-[N:4]>>C-C-[O:1].[O:2]-[C:3]=[N:4]_1-10-1_0000_0000,1,60
60,[O:1].[O:2].[N:5]-[C:4](-[N:3])=[N:6]>>[O:1].[O:2].[N:3].C-S-[C:4](=[N:5])-[N:6]_1110-11_110000_000000,1,61
61,[Si:1]>>C-C-C-C-C-C-C-C-[Si:1]_-1_0_0,1,62
62,[S:1]>>[S:1]-C1-C-C-C-C-O-1_-1_0_0,1,63
63,[O:1]=[C:2]-[c:3]>>C-C-[O:1]-[C:2].C-C-O-C(=O)-[c:3]_020_000_000,1,64
64,[N:3].[O:2]-[O:5]-[C:4]=[O:1]>>[O:1].O-[O:2].[N:3]-[C:4]=[O:5]_20-100_00000_00000,1,65
65,[N:1]-[C:2]=[O:3]>>[N:1].O=[C:2]-[O:3]-N1-C(=O)-C-C-C-1=O_200_100_000,1,66
66,[O:1]>>C-C-[O:1]_-2_-1_0,1,67
67,[N:1]>>C-C(=O)-[N:1]-C(-C)=O_-2_0_0,1,68
68,[n:1].[n:2].[C:3]-[N:4]>>[n:1].[n:2].O=[C:3].[N:4]-C-c1:c:c:c:c:c:1_-11-10_0000_0000,1,69
69,[c:1]-[C:2]=[O:3]>>O=C(-[O-])-O-[c:1].O=[C:2]-[O:3]-c1:c:c:c:c:c:1_000_000_000,1,70
