,Template,Frequency,Class
0,[S;+0:1]-[N;+0:2]>>Cl-[S;+0:1].[N;+0:2]-c1:c:c:c:c:c:1,1,1
1,[O;+0:5]-[C;+0:4]-[C;+0:3]-[C;+0:2]-[C;+0:1]-[C;+0:6]-[N;+0:7]>>[C;+0:1]1-[C;+0:2]-[C;+0:3]-[C;+0:4]-[O;+0:5]-[C;+0:6]-1.[N;+0:7],1,2
2,[C;+0:2]-[O;+0:1]-[C;+0:3]>>C-C-[O;+0:1].[C;+0:2]-C-[C;+0:3],1,3
3,[C;+0:1]=[C;+0:2]>>Cl-[C;+0:1].[C;+0:2],1,4
4,[C;+0:1]-[O;+0:2]-[C;+0:3]=[O;+0:4]>>O=[C;+0:1].[O;+0:2]=[C;+0:3]-[O;-1:4],1,5
5,[N;+1:2]=[C;+0:1]-[N;+0:3]>>[C;+0:1]#[N;+0:2].[N;+1:3],1,6
6,[Cl;+0:1]-[c;+0:2]>>Br-C-c1:c:c:c(-Br):c(-[Cl;+0:1]):c:1.[c;+0:2],1,7
7,[C;+0:1]#[N;+0:2]>>O=[C;+0:1]-[N;+0:2](-C-c1:c:c:c:c:c:1)-C-c1:c:c:c2:c(:c:1)-O-C-O-2,1,8
8,[C;+0:1]-[C;+0:3]-[C;+0:4]-[N;+0:2]>>Br-[C;+0:1].[N;+0:2].[C;+0:3]=[C;+0:4],1,9
9,[C;+0:2]-[N;+0:3]-[C;+0:1]>>C-[C;+0:1]-O-C(-C)=O.O-[C;+0:2].[N;+0:3],1,10
10,[C;+0:1]-[n;+0:2]:[n;+0:3]>>C-N(-[C;+0:1])-C=O.[n;+0:2]:[n;+0:3],1,11
11,[C;+0:2]-[c;+0:1].[O;+0:3]>>Br-[c;+0:1].[C;+0:2]-[O;+0:3],1,12
12,[C;+0:2]=[O;+0:1]>>C-[Si](-C)(-C)-[O;+0:1]-[C;+0:2],1,13
13,[C;+0:1]-[n;+1:3].[Cl;-1:2]>>[C;+0:1]-[Cl;+0:2].[n;+1:3],1,14
