,Smiles_template,Smarts_template,edit_site,change_H
0,CC>>C-O-N(-C)-[C;+0:1].[C;+0:2]-[Mg+],[C;+0:2]-[C;+0:1]>>C-O-N(-C)-[C;+0:1].[C;+0:2]-[Mg+],"[(1, 2)]","{1: 0, 2: 0}"
1,CN>>Cl-[c;+0:1].[N;+0:2],[c;+0:1]-[N;+0:2]>>Cl-[c;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
2,CN>>O-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>O-[C;+0:1].[N;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
3,NC=O>>O=[C;+0:1]-[O;+0:2].[N;+0:3],[O;+0:2]=[C;+0:1]-[N;+0:3]>>O=[C;+0:1]-[O;+0:2].[N;+0:3],"[(1, 3)]","{1: 0, 2: 1, 3: 1}"
4,C>>N#C-[C;+0:1],[C;+0:1]>>N#C-[C;+0:1],[1],{1: -1}
5,CN>>F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:1].[N;+0:2],[N;+0:2]-[c;+0:1]>>F-C(-F)(-F)-S(=O)(=O)-O-[c;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
6,CN>>C-S(=O)(=O)-[N;+0:1].[C;+0:2]-N1-C-C-N-C-C-1,[C;+0:2]-[N;+0:1]>>C-S(=O)(=O)-[N;+0:1].[C;+0:2]-N1-C-C-N-C-C-1,"[(2, 1)]","{1: 0, 2: 0}"
7,CN>>O-[C;+0:1](=O)-[O-].[N;+0:2],[C;+0:1]-[N;+0:2]>>O-[C;+0:1](=O)-[O-].[N;+0:2],"[(1, 2)]","{2: 1, 1: -3}"
8,NS>>Cl-[S;+0:1].[N;+0:2]-c1:c:c:c:c:c:1,[S;+0:1]-[N;+0:2]>>Cl-[S;+0:1].[N;+0:2]-c1:c:c:c:c:c:1,"[(2, 1)]","{2: 0, 1: 0}"
9,CO>>Cl-[C;+0:1].[O;+0:2],[C;+0:1]-[O;+0:2]>>Cl-[C;+0:1].[O;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
10,CBr>>O=C1-C-C-C(=O)-N-1-[Br;+0:1].[C;+0:2],[Br;+0:1]-[C;+0:2]>>O=C1-C-C-C(=O)-N-1-[Br;+0:1].[C;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
11,CO>>[C;+0:1]=[O;+0:2],[C;+0:1]-[O;+0:2]>>[C;+0:1]=[O;+0:2],"[(1, 2)]","{1: -1, 2: -1}"
12,CC>>[C;+0:1]=[C;+0:2],[C;+0:1]-[C;+0:2]>>[C;+0:1]=[C;+0:2],"[(1, 2)]","{1: -1, 2: -1}"
13,NS>>Cl-[S;+0:1].[N;+0:2],[S;+0:1]-[N;+0:2]>>Cl-[S;+0:1].[N;+0:2],"[(2, 1)]","{2: 1, 1: 0}"
14,CN>>Cl-[C;+0:1].[N;+0:2],[C;+0:1]-[N;+0:2]>>Cl-[C;+0:1].[N;+0:2],"[(1, 2)]","{2: 1, 1: 0}"
15,NCN>>[C;+0:1]=[N;+0:2].[N;+0:3],[N;+0:2]-[C;+0:1]-[N;+0:3]>>[C;+0:1]=[N;+0:2].[N;+0:3],"[(1, 3)]","{3: 1, 1: 0, 2: -1}"
16,CN>>I-[c;+0:1].[N;+0:2],[c;+0:1]-[N;+0:2]>>I-[c;+0:1].[N;+0:2],"[(1, 2)]","{1: 0, 2: 1}"
17,C[NH+]=O>>O=[N;+1:1]-[O;+0:2].[c;+0:3],[O;+0:2]=[N;+1:1]-[c;+0:3]>>O=[N;+1:1]-[O;+0:2].[c;+0:3],"[(3, 1)]","{3: 1, 1: 0, 2: 1}"
18,CS>>Br-[C;+0:1].[S;-1:2],[C;+0:1]-[S;+0:2]>>Br-[C;+0:1].[S;-1:2],"[(1, 2)]","{1: 0, 2: 0}"
19,NN>>[N;+0:1].[N;+0:2]-[O-],[N;+0:1]-[N;+0:2]>>[N;+0:1].[N;+0:2]-[O-],"[(1, 2)]","{1: 1, 2: 0}"
20,N>>C-C(-C)(-C)-O-C(=O)-[N;+0:1],[N;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;+0:1],[1],{1: -1}
