,Template,edit_site,change_H,change_C,change_S,Frequency
0,[C:1]-[C:2]>>[C:1]-[Mg+].C-O-N(-C)-[C:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",215
1,[N:1]-[c:2]>>[N:1].Cl-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",13828
2,[N:1]-[C:2]>>[N:1].O-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",14296
3,[N:1]-[C:2]=[O:3]>>[N:1].O=[C:2]-[O:3]_101_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 3: 1, 1: 1}","{2: 0, 3: 0, 1: 0}","{2: 0, 3: 0, 1: 0}",15955
4,[C:1]>>N#C-[C:1]_-1_0_0,"{'A': [1], 'B': [], 'C': [], 'R': []}",{1: -1},{1: 0},{1: 0},24
5,[N:1]-[c:2]>>[N:1].F-C(-F)(-F)-S(=O)(=O)-O-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",284
6,[C:1]-[N:2]>>[C:1]-N1-C-C-N-C-C-1.C-S(=O)(=O)-[N:2]_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",2
7,[N:1]-[C:2]>>[N:1].O-[C:2](=O)-[O-]_1-3_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: -3}","{1: 0, 2: 0}","{1: 0, 2: 0}",46
8,[S:1]-[N:2]>>Cl-[S:1].[N:2]-c1:c:c:c:c:c:1_00_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 0}","{2: 0, 1: 0}","{2: 0, 1: 0}",1
9,[O:1]-[C:2]>>[O:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",6524
10,[C:1]-[Br:2]>>[C:1].O=C1-C-C-C(=O)-N-1-[Br:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",1465
11,[C:1]-[O:2]>>[C:1]=[O:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(1, 2), (2, 1)], 'R': []}","{1: -1, 2: -1}","{1: 0, 2: 0}","{1: 0, 2: 0}",4549
12,[C:1]-[C:2]>>[C:1]=[C:2]_-1-1_00_00,"{'A': [], 'B': [], 'C': [(2, 1), (1, 2)], 'R': []}","{2: -1, 1: -1}","{2: 0, 1: 0}","{2: 0, 1: 0}",3799
13,[N:1]-[S:2]>>[N:1].Cl-[S:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",6740
14,[N:1]-[C:2]>>[N:1].Cl-[C:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0}","{1: 0, 2: 0}","{1: 0, 2: 0}",21351
15,[N:1]-[C:2]-[N:3]>>[N:1].[C:2]=[N:3]_10-1_000_000,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{1: 1, 2: 0, 3: -1}","{1: 0, 2: 0, 3: 0}","{1: 0, 2: 0, 3: 0}",4958
16,[N:1]-[c:2]>>[N:1].I-[c:2]_10_00_00,"{'A': [], 'B': [(1, 2)], 'C': [], 'R': []}","{2: 0, 1: 1}","{2: 0, 1: 0}","{2: 0, 1: 0}",653
